,Provincia,Cantón,Parroquia,Densidad Poblacional
206,COTOPAXI,SIGCHOS,PALO QUEMADO,9.0
207,CHIMBORAZO,RIOBAMBA,RIOBAMBA,3.049
208,CHIMBORAZO,RIOBAMBA,CACHA,83.0
209,CHIMBORAZO,RIOBAMBA,CALPI,120.0
210,CHIMBORAZO,RIOBAMBA,CUBIJÍES,252.0
211,CHIMBORAZO,RIOBAMBA,FLORES,61.0
212,CHIMBORAZO,RIOBAMBA,LICÁN,558.0
213,CHIMBORAZO,RIOBAMBA,LICTO,113.0
214,CHIMBORAZO,RIOBAMBA,PUNGALÁ,14.0
215,CHIMBORAZO,RIOBAMBA,PUNÍN,91.0
216,CHIMBORAZO,RIOBAMBA,QUIMIAG,33.0
217,CHIMBORAZO,RIOBAMBA,SAN JUAN,29.0
218,CHIMBORAZO,RIOBAMBA,SAN LUIS,653.0
219,CHIMBORAZO,ALAUSÍ,ALAUSÍ,194.0
220,CHIMBORAZO,ALAUSÍ,ACHUPALLAS,14.0
221,CHIMBORAZO,ALAUSÍ,GUASUNTOS,39.0
222,CHIMBORAZO,ALAUSÍ,HUIGRA,13.0
223,CHIMBORAZO,ALAUSÍ,MULTITUD,18.0
224,CHIMBORAZO,ALAUSÍ,PISTISHI,23.0
225,CHIMBORAZO,ALAUSÍ,PUMALLACTA,28.0
226,CHIMBORAZO,ALAUSÍ,SEVILLA,30.0
227,CHIMBORAZO,ALAUSÍ,SIBAMBE,24.0
228,CHIMBORAZO,ALAUSÍ,TIXÁN,47.0
229,CHIMBORAZO,COLTA,VILLA LA UNIÓN,65.0
230,CHIMBORAZO,COLTA,CAÑI,6.0
231,CHIMBORAZO,COLTA,COLUMBE,55.0
232,CHIMBORAZO,COLTA,JUAN DE VELASCO,11.0
233,CHIMBORAZO,COLTA,SANTIAGO DE QUITO,57.0
234,CHIMBORAZO,CHAMBO,CHAMBO,81.0
235,CHIMBORAZO,CHUNCHI,CHUNCHI,54.0
236,CHIMBORAZO,CHUNCHI,CAPZOL,27.0
237,CHIMBORAZO,CHUNCHI,COMPUD,25.0
238,CHIMBORAZO,CHUNCHI,GONZOL,43.0
239,CHIMBORAZO,CHUNCHI,LLAGOS,20.0
240,CHIMBORAZO,GUAMOTE,GUAMOTE,50.0
241,CHIMBORAZO,GUAMOTE,CEBADAS,11.0
242,CHIMBORAZO,GUAMOTE,PALMIRA,41.0
243,CHIMBORAZO,GUANO,GUANO,243.0
244,CHIMBORAZO,GUANO,GUANANDO,15.0
245,CHIMBORAZO,GUANO,ILAPO,35.0
246,CHIMBORAZO,GUANO,LA PROVIDENCIA,65.0
247,CHIMBORAZO,GUANO,SAN ANDRÉS,80.0
248,CHIMBORAZO,GUANO,SAN GERARDO,461.0
