;Provincia;Cantón;Parroquia;Densidad Poblacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SAN SIMÓN;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SANTA FE;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SIMIÁTUG;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;GUARANDA;SAN LUIS DE PAMBIL;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHILLANES;CHILLANES;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHILLANES;SAN JOSÉ DEL TAMBO;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHIMBO;SAN JOSÉ DE CHIMBO;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHIMBO;ASUNCIÓN;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHIMBO;LA MAGDALENA;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHIMBO;SAN SEBASTIÁN;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CHIMBO;TELIMBELA;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;ECHEANDÍA;ECHEANDÍA;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;SAN MIGUEL;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;BALSAPAMBA;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;BILOVÁN;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;RÉGULO DE MORA;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;SAN PABLO;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;SANTIAGO;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;SAN MIGUEL;SAN VICENTE;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;CALUMA;CALUMA;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLÍVAR;LAS NAVES;LAS NAVES;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;AZOGUES;730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;COJITAMBO;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;GUAPÁN;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;JAVIER LOYOLA;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;LUIS CORDERO;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;PINDILIG;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;RIVERA;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;SAN MIGUEL;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;AZOGUES;TADAY;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;BIBLIÁN;BIBLIÁN;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;BIBLIÁN;NAZÓN;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;BIBLIÁN;SAN FRANCISCO DE SAGEO;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;BIBLIÁN;TURUPAMBA;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;BIBLIÁN;JERUSALÉN;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;CAÑAR;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;CHONTAMARCA;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;CHOROCOPTE;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;GENERAL MORALES;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;GUALLETURO;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;HONORATO VÁSQUEZ;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;INGAPIRCA;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;JUNCAL;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;SAN ANTONIO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;ZHUD;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;VENTURA;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;CAÑAR;DUCUR;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;LA TRONCAL;LA TRONCAL;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;LA TRONCAL;MANUEL J. CALLE;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;LA TRONCAL;PANCHO NEGRO;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;EL TAMBO;EL TAMBO;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;DÉLEG;DÉLEG;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;DÉLEG;SOLANO;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAÑAR;SUSCAL;SUSCAL;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;TULCÁN;473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;EL CARMELO;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;JULIO ANDRADE;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;MALDONADO;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;PIOTER;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;TOBAR DONOSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;TUFIÑO;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;URBINA;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;EL CHICAL;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;TULCÁN;SANTA MARTHA DE CUBA;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;BOLÍVAR;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;GARCÍA MORENO;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;LOS ANDES;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;MONTE OLIVO;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;SAN VICENTE DE PUSIR;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;BOLÍVAR;SAN RAFAEL;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;ESPEJO;EL ÁNGEL;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;ESPEJO;EL GOALTAL;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;ESPEJO;LA LIBERTAD;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;ESPEJO;SAN ISIDRO;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MIRA;MIRA;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MIRA;CONCEPCIÓN;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MIRA;JIJÓN Y CAAMAÑO;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MIRA;JUAN MONTALVO;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;SAN GABRIEL;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;CRISTÓBAL COLÓN;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;CHITÁN DE NAVARRETE;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;FERNÁNDEZ SALVADOR;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;LA PAZ;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;MONTÚFAR;PIARTAL;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;SAN PEDRO DE HUACA;HUACA;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARCHI;SAN PEDRO DE HUACA;MARISCAL SUCRE;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;LATACUNGA;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;ALÁQUEZ;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;BELISARIO QUEVEDO;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;GUAYTACAMA;569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;JOSEGUANGO BAJO;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;MULALÓ;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;ONCE DE NOVIEMBRE;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;POALÓ;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;TANICUCHI;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LATACUNGA;TOACASO;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LA MANÁ;LA MANÁ;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LA MANÁ;GUASAGANDA;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;LA MANÁ;PUCAYACU;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PANGUA;EL CORAZÓN;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PANGUA;MORASPUNGO;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PANGUA;PINLLOPATA;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PANGUA;RAMÓN CAMPAÑA;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;PUJILÍ;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;ANGAMARCA;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;GUANGAJE;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;LA VICTORIA;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;PILALÓ;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;TINGO;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;PUJILÍ;ZUMBAHUA;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;SAN MIGUEL;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;ANTONIO JOSÉ HOLGUÍN;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;CUSUBAMBA;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;MULALILLO;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;MULLIQUINDIL;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SALCEDO;PANSALEO;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SAQUISILÍ;SAQUISILÍ;391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SAQUISILÍ;CANCHAGUA;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SAQUISILÍ;CHANTILÍN;452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SAQUISILÍ;COCHAPAMBA;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SIGCHOS;SIGCHOS;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SIGCHOS;CHUGCHILLÁN;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COTOPAXI;SIGCHOS;ISINLIVI;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
